const windowSize int = 200000
const msgCount int = 1000000
const msgSize int = 2048

gc 1 @0.014s 0%: 0.008+0.43+0.027 ms clock, 0.032+0.14/0.23/0.85+0.11 ms cpu, 4->4->0 MB, 5 MB goal, 4 P
gc 2 @0.025s 1%: 0.007+0.50+0.041 ms clock, 0.030+0.18/0.37/0.72+0.16 ms cpu, 4->4->0 MB, 5 MB goal, 4 P
gc 3 @0.037s 2%: 0.081+2.7+0.037 ms clock, 0.32+2.8/0.001/0.074+0.14 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
gc 4 @0.041s 3%: 0.013+0.73+0.12 ms clock, 0.055+0.30/0.56/0.70+0.51 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
gc 5 @0.045s 3%: 0.003+0.50+0.058 ms clock, 0.012+0.041/0.34/0.98+0.23 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
gc 6 @0.050s 3%: 0.002+0.60+0.027 ms clock, 0.009+0.16/0.49/0.86+0.11 ms cpu, 4->4->1 MB, 5 MB goal, 4 P
# command-line-arguments
gc 1 @0.002s 18%: 0.014+4.0+0.67 ms clock, 0.059+0.11/3.0/3.6+2.7 ms cpu, 4->5->3 MB, 5 MB goal, 4 P
# command-line-arguments
gc 1 @0.000s 17%: 0.003+2.2+0.022 ms clock, 0.012+0.13/2.1/0.20+0.088 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 2 @0.010s 9%: 0.004+3.0+0.089 ms clock, 0.019+0.11/2.4/2.5+0.35 ms cpu, 7->8->7 MB, 8 MB goal, 4 P
gc 3 @0.017s 13%: 0.005+9.7+0.089 ms clock, 0.020+0/9.6/0.34+0.35 ms cpu, 14->14->14 MB, 15 MB goal, 4 P
gc 4 @0.058s 11%: 0.004+14+0.068 ms clock, 0.017+2.6/13/14+0.27 ms cpu, 26->28->26 MB, 28 MB goal, 4 P
Start ...
gc 1 @0.005s 1%: 0.003+0.17+0.042 ms clock, 0.013+0.062/0.018/0.18+0.17 ms cpu, 4->4->3 MB, 5 MB goal, 4 P
gc 2 @0.011s 1%: 0.003+4.0+0.044 ms clock, 0.015+0.48/0.011/0.047+0.17 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 3 @0.024s 1%: 0.002+0.67+0.085 ms clock, 0.011+0.090/0.29/0.44+0.34 ms cpu, 15->15->15 MB, 17 MB goal, 4 P
gc 4 @0.043s 1%: 0.003+0.97+0.025 ms clock, 0.013+0.18/0.19/1.0+0.10 ms cpu, 28->28->28 MB, 30 MB goal, 4 P
gc 5 @0.084s 1%: 0.003+1.8+0.077 ms clock, 0.012+0.16/1.1/2.1+0.31 ms cpu, 55->55->55 MB, 57 MB goal, 4 P
gc 6 @0.154s 1%: 0.003+5.2+0.023 ms clock, 0.013+0.091/4.4/1.3+0.095 ms cpu, 108->109->108 MB, 110 MB goal, 4 P
gc 7 @0.302s 1%: 0.003+19+0.072 ms clock, 0.013+7.5/1.4/0.94+0.28 ms cpu, 212->220->205 MB, 217 MB goal, 4 P
gc 8 @0.573s 1%: 0.003+19+0.034 ms clock, 0.012+0.089/19/2.5+0.13 ms cpu, 398->403->221 MB, 411 MB goal, 4 P
gc 9 @0.835s 1%: 0.003+26+0.025 ms clock, 0.012+0.14/26/3.2+0.10 ms cpu, 434->442->438 MB, 442 MB goal, 4 P
gc 10 @1.393s 2%: 0.003+88+0.032 ms clock, 0.012+6.2/88/3.2+0.13 ms cpu, 867->882->876 MB, 877 MB goal, 4 P
gc 11 @2.537s 3%: 0.003+185+0.041 ms clock, 0.013+0.074/185/5.9+0.16 ms cpu, 1734->1771->1760 MB, 1753 MB goal, 4 P
Finish ...
